epoch,train_loss,val_loss,psnr,ssim,lr
1,34.35994532214817,5.160320615768432,32.04588900862976,0.9011891051330452,0.0005
2,31.115891887232202,4.8968171119689945,32.41680111770023,0.9071450692748424,0.0005
3,30.92839002183213,4.708951473236084,32.61426359555378,0.909552964418032,0.0005
4,30.77606357168086,4.681733512878418,32.687865424423016,0.9106933411900584,0.0005
5,30.36359522449192,4.582781505584717,32.80791861365155,0.9120963236459083,0.0005
6,29.978835140634647,4.558187532424927,32.85652921776513,0.9133061122432885,0.0005
7,30.493710873790622,4.5004654884338375,32.9243236545007,0.9142607314631779,0.0005
8,30.257199521408868,4.4577826976776125,32.995961065036646,0.9137093479528401,0.0005
9,29.396665131349334,4.4346839427948,33.08906162967311,0.915108114471791,0.0005
10,29.931872778823696,4.36543641090393,33.194412372125505,0.9166440569993588,0.0005
11,29.835021561035994,4.373960018157959,33.21453583246235,0.9164550123748567,0.0005
12,29.720466993928365,4.372464513778686,33.17632620003609,0.9170101181607679,0.0005
13,29.217270149152302,4.379222631454468,33.204792347037916,0.9170691333870684,0.0005
14,29.567431627516076,4.340137529373169,33.27797413479112,0.9178430828303409,0.0005
15,30.089774710533955,4.303971529006958,33.315786614912284,0.9181378280659669,0.0005
16,28.925506694046494,4.3087952613830565,33.333571219650594,0.9183755731093717,0.0005
17,29.894608649027717,4.325265598297119,33.23853303880745,0.9172228223838974,0.0005
18,29.00949762482004,4.288295841217041,33.366883788154595,0.9179408030815287,0.0005
19,29.110121466777578,4.256683397293091,33.42478120216701,0.9184276583367244,0.0005
20,28.971662103187587,4.290848684310913,33.27069546561143,0.9173495581345147,0.0005
21,28.660883468942544,4.185126781463623,33.577571237325365,0.9200044159779901,0.00025
22,28.972147175372672,4.2001487731933596,33.50657659901445,0.9199935877829413,0.00025
23,28.50261760724779,4.154119157791138,33.61240872524316,0.9206222990988173,0.00025
24,28.31129080520053,4.1534504890441895,33.60958029753386,0.9206533628815532,0.00025
25,28.461950430591493,4.151609706878662,33.58138505734657,0.9209117073813837,0.00025
26,28.42562206700905,4.156659173965454,33.610271155318706,0.921299282100194,0.00025
27,28.70529204561948,4.132412147521973,33.661928059229595,0.9209229588620234,0.00025
28,28.45970985045548,4.171344423294068,33.559622983386596,0.9205838173883418,0.00025
29,28.142937616302387,4.152136325836182,33.61017735879575,0.9213364108095442,0.00025
30,28.328192257963096,4.164625644683838,33.59368568523181,0.920629153698566,0.00025
31,28.795696740953375,4.145643615722657,33.62605632793428,0.9205952663268719,0.00025
32,28.482641651376415,4.126240921020508,33.673396925637384,0.9216784589495732,0.00025
33,28.72999275967837,4.1296398639678955,33.72295567843511,0.9209621679003523,0.00025
34,28.455189571839426,4.107433605194092,33.716827488873804,0.9218379489534312,0.00025
35,28.626701420525094,4.1402589797973635,33.67061181474262,0.9205997000974353,0.00025
